"ID";"TIPO_DOCUMENTO";"ANO";"MÊS";"COD_SENADOR";"NOME_SENADOR";"TIPO_DESPESA";"CPF_CNPJ_FORNECEDOR";"NOME_FORNECEDOR";"DOCUMENTO";"DATA";"DETALHAMENTO";"VALOR_REEMBOLSADO"
"2276586";"Nota Fiscal Eletrônica";"2025";"12";"5008";"HUMBERTO COSTA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"10.835.932/0001-08";"Neoenergia - Companhia Energética de Pernambuco";"389265919";"2025-12-15";"Despesa relativa ao fornecimento de energia elétrica para o escritório parlamentar no estado.";"791,75"
"2275905";"Nota Fiscal Eletrônica";"2025";"12";"5008";"HUMBERTO COSTA";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"46.306.856/0001-90";"Adna da Costa Lima";"57";"2025-12-09";"Despesa relativa à locação de equipamentos de informática para o escritório parlamentar no estado.";"564,00"
"2276018";"Nota Fiscal Eletrônica";"2025";"12";"5008";"HUMBERTO COSTA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"25.999.023/0001-82";"MOVIMENTA SERVICOS DE TECNOLOGIA E MARKETING DIGITAL LTDA";"350";"2025-12-04";"Despesa relativa à prestação de serviços de impulsionamento e marketing digital.";"1200,00"
"2276020";"Fatura";"2025";"12";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"02.355.633/0001-48";"ABS Trasnporte e Turismo Ltda.";"18815";"2025-12-11";"Despesa relativa à locação de veículo para locomoção do parlamentar e servidores no estado.";"4000,00"
"2276019";"Fatura";"2025";"12";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"02.355.633/0001-48";"ABS Trasnporte e Turismo Ltda.";"18814";"2025-12-11";"Despesa relativa à locação de veículo para locomoção do parlamentar e servidores no estado.";"10000,00"
"2275601";"Nota Fiscal Eletrônica";"2025";"12";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"05.952.001/0001-50";"Auto Posto Centenário Ltda";"999986";"2025-12-07";"Despesa relativa à aquisição de combustível para veículos utilizados na atividade parlamentar pelo servidor, Francisco Iveraldo do Nascimento, matrícula nº. 442607, em viagem à cidade de Petrolina/PE.";"196,89"
"2275740";"Nota Fiscal Eletrônica";"2025";"12";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"16.888.618/0001-70";"BELANA 01 COMERCIAL LTDA";"1254";"2025-12-08";"Despesa com refeição e bebidas não alcoólicas para o parlamentar.";"84,00"
"2275902";"Nota Fiscal Eletrônica";"2025";"12";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"60.597.881/0001-00";"Diogo Cavalcanti de Albuquerque";"10";"2025-12-10";"Despesa relativa à locação de veículo para locomoção do parlamentar e servidores no estado.";"6000,00"
"2279544";"Nota Fiscal Eletrônica";"2025";"12";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"24.535.200/0001-07";"Douro Bar e Restaurante Ltda Epp";"102271";"2025-12-17";"Despesa com refeição para o parlamentar.";"130,00"
"2279551";"Nota Fiscal Eletrônica";"2025";"12";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"24.535.200/0001-07";"Douro Bar e Restaurante Ltda Epp";"100019";"2025-12-21";"Despesa com refeição para o parlamentar.";"196,00"
"2275732";"Nota Fiscal Eletrônica";"2025";"12";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"08.072.308/0006-69";"JAD Araújo & Cia Ltda";"2301398";"2025-12-04";"Despesa relativa à aquisição de combustível para veículos utilizados na atividade parlamentar pelo servidor Álvaro Alcântara Marques da Silva, matrícula nº. 446686, em viagem à cidade de Tacaimbó.";"159,39"
"2275733";"Nota Fiscal Eletrônica";"2025";"12";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"08.072.308/0006-69";"JAD Araújo & Cia Ltda";"2304804";"2025-12-06";"Despesa relativa à aquisição de combustível para veículos utilizados na atividade parlamentar pelo servidor Álvaro Alcântara Marques da Silva, matrícula nº. 446686, em viagem à cidade de Tacaimbó/PE.";"235,05"
"2263553";"Nota Fiscal Eletrônica";"2025";"8";"6010";"IVETE DA SILVEIRA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"32.216.743/0001-90";"Posto de Combustíveis 309 Sul LTDA";"3115";"2025-08-06";;"194,70"
"2264705";"Nota Fiscal Eletrônica";"2025";"8";"6010";"IVETE DA SILVEIRA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"32.216.743/0001-90";"Posto de Combustíveis 309 Sul LTDA";"3134";"2025-08-19";;"222,52"
"2265562";"Nota Fiscal Eletrônica";"2025";"8";"6010";"IVETE DA SILVEIRA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"32.216.743/0001-90";"Posto de Combustíveis 309 Sul LTDA";"3139";"2025-08-26";;"161,00"
"2264310";"Fatura";"2025";"8";"6010";"IVETE DA SILVEIRA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"72.653.009/0001-02";"QUALITY ALUGUEL DE VEÍCULOS S/A";"47278";"2025-06-18";;"1836,41"
"2265085";"Fatura";"2025";"8";"6010";"IVETE DA SILVEIRA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"72.653.009/0001-02";"QUALITY ALUGUEL DE VEÍCULOS S/A";"48266";"2025-07-18";;"2168,70"
"2264704";"Passagem / Bilhete / Código Localizador";"2025";"8";"6010";"IVETE DA SILVEIRA";"Passagens aéreas, aquáticas e terrestres nacionais";"04.176.082/0001-80";"Reunidas Transportes S/A";"581922";"2025-08-14";;"70,26"
"2264703";"Passagem / Bilhete / Código Localizador";"2025";"8";"6010";"IVETE DA SILVEIRA";"Passagens aéreas, aquáticas e terrestres nacionais";"04.176.082/0001-80";"Reunidas Transportes S/A";"583870";"2025-08-18";;"63,25"
"2266668";"Passagem / Bilhete / Código Localizador";"2025";"8";"6010";"IVETE DA SILVEIRA";"Passagens aéreas, aquáticas e terrestres nacionais";"04.176.082/0001-80";"Reunidas Transportes S/A";"588622";"2025-08-28";;"308,89"
"2267986";"Fatura";"2025";"9";"6010";"IVETE DA SILVEIRA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"07.226.794/0001-55";"ÁGUAS DE JOINVILLE - COMPANHIA DE SANEAMENTO BÁSICO";"37375664";"2025-09-02";;"107,32"
"2266623";"Recibo";"2025";"9";"6010";"IVETE DA SILVEIRA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"03.094.629/0001-36";"AMBIENTAL LIMPEZA URBANA E SANEAMENTO - LTDA";;"2025-09-15";;"77,55"
"2266630";"Fatura";"2025";"9";"6010";"IVETE DA SILVEIRA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"08.336.783/0001-90";"Celesc Distribuidora S.A";"058386342";"2025-08-19";;"176,01"
"2269875";"Boleto";"2025";"9";"6010";"IVETE DA SILVEIRA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"66.970.229/0039-30";"Claro NXT";;"2025-09-10";;"63,17"
"2266641";"Nota Fiscal Eletrônica";"2025";"9";"6010";"IVETE DA SILVEIRA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"52.629.064/0001-50";"GISELE CRISTINA KELLNER GUIMARAES PRADO";"254";"2025-09-01";;"800,00"
"2266871";"Nota Fiscal Eletrônica";"2025";"9";"6010";"IVETE DA SILVEIRA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"97.529.834/0001-20";"H&L JARDINAGEM E PAISAGISMO LTDA";"2419";"2025-09-10";;"250,00"
"2266620";"Recibo";"2025";"9";"6010";"IVETE DA SILVEIRA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"15.685.550/0001-69";"JNCN ADMINISTRADORA DE BENS LTDA";;"2025-09-15";;"7048,00"
"2266621";"Recibo";"2025";"9";"6010";"IVETE DA SILVEIRA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"83.169.623/0001-10";"PREEITURA DE JOINVILLE - SC IPTU";;"2025-09-15";;"352,00"
"2266642";"Fatura";"2025";"9";"6010";"IVETE DA SILVEIRA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"08.543.640/0001-50";"ULTRATELECOM PROVEDORA DE INTERNET EIRELI";"2652185";"2025-09-02";;"212,37"
"2267860";"Nota Fiscal Eletrônica";"2025";"9";"6010";"IVETE DA SILVEIRA";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"83.648.477/0016-91";"GIASSI SUPERMERCADOS";"40922";"2025-09-17";;"216,94"
"2266876";"Nota Fiscal Eletrônica";"2025";"9";"6010";"IVETE DA SILVEIRA";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"30.867.061/0001-11";"KEKO GAS - EIRELI";"5714";"2025-09-05";;"40,00"
"2268444";"Nota Fiscal Eletrônica";"2025";"9";"6010";"IVETE DA SILVEIRA";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"30.867.061/0001-11";"KEKO GAS - EIRELI";"5808";"2025-09-29";;"40,00"
"2268523";"Nota Fiscal Eletrônica";"2025";"9";"6010";"IVETE DA SILVEIRA";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"05.802.600/0001-97";"NBASTIAN AGÊNCIA FOTOGRÁFICA LTDA";"1350";"2025-10-01";;"1991,00"
"2270833";"Fatura";"2025";"9";"6010";"IVETE DA SILVEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"05.120.923/0001-09";"AEROTUR SERVIÇO DE VIAGENS LTDA";"2248861732";"2025-09-03";;"243,51"
"2270834";"Fatura";"2025";"9";"6010";"IVETE DA SILVEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"05.120.923/0001-09";"AEROTUR SERVIÇO DE VIAGENS LTDA";"2248859488";"2025-09-03";;"1546,44"
"2270832";"Fatura";"2025";"9";"6010";"IVETE DA SILVEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"05.120.923/0001-09";"AEROTUR SERVIÇO DE VIAGENS LTDA";"2249914861";"2025-09-10";;"556,36"
"2271083";"Fatura";"2025";"9";"6010";"IVETE DA SILVEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"05.120.923/0001-09";"AEROTUR SERVIÇO DE VIAGENS LTDA";"2250784856";"2025-09-17";;"3781,87"
"2271076";"Fatura";"2025";"9";"6010";"IVETE DA SILVEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"05.120.923/0001-09";"AEROTUR SERVIÇO DE VIAGENS LTDA";"2251147997";"2025-09-19";;"1519,77"
"2271085";"Fatura";"2025";"9";"6010";"IVETE DA SILVEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"05.120.923/0001-09";"AEROTUR SERVIÇO DE VIAGENS LTDA";"2251125883";"2025-09-19";;"1817,62"
"2271079";"Fatura";"2025";"9";"6010";"IVETE DA SILVEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"05.120.923/0001-09";"AEROTUR SERVIÇO DE VIAGENS LTDA";"2251120533";"2025-09-19";;"2684,48"
"2271077";"Fatura";"2025";"9";"6010";"IVETE DA SILVEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"05.120.923/0001-09";"AEROTUR SERVIÇO DE VIAGENS LTDA";"2251494583";"2025-09-22";;"2746,63"
"2271081";"Fatura";"2025";"9";"6010";"IVETE DA SILVEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"05.120.923/0001-09";"AEROTUR SERVIÇO DE VIAGENS LTDA";"4458152607";"2025-09-25";;"65,00"
"2271080";"Fatura";"2025";"9";"6010";"IVETE DA SILVEIRA";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"05.120.923/0001-09";"AEROTUR SERVIÇO DE VIAGENS LTDA";"2251917808";"2025-09-25";;"1909,41"
"2249064";"Recibo";"2025";"2";"5998";"DANIELLA RIBEIRO";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"10.632.083/0001-95";"Almeida Contabilidade e Escritório Virtual LTDA - ME / RESOLUTE Escritórios Virtuais";"S/N";"2025-02-07";;"3000,00"
"2249908";"Nota Fiscal Eletrônica";"2025";"2";"5998";"DANIELLA RIBEIRO";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"44.271.004/0001-80";"Alessandra do Nascimento Silva/ THEA Comunicações";"143";"2025-02-24";;"700,00"
"2249910";"Nota Fiscal Eletrônica";"2025";"2";"5998";"DANIELLA RIBEIRO";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"15.624.304/0001-05";"Alexandre de Sousa Freire ME/ Vinte e Sete Dez Comunicação";"1000851";"2025-02-20";;"1000,00"
"2248336";"Nota Fiscal Eletrônica";"2025";"2";"5998";"DANIELLA RIBEIRO";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"37.921.617/0001-50";"Alisson da Silva Barbosa/NORDHIC DIGITAL";"21";"2025-02-04";;"6354,00"
"2250212";"Nota Fiscal Eletrônica";"2025";"2";"5998";"DANIELLA RIBEIRO";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"23.328.781/0001-43";"Ecliton da Silva Monteiro ME";"1000623";"2025-02-25";;"1500,00"
"2250215";"Nota Fiscal Eletrônica";"2025";"2";"5998";"DANIELLA RIBEIRO";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"26.314.473/0001-57";"Estratégia Serviços de Comunicação LTDA";"1000624";"2025-02-25";;"1500,00"
"2250195";"Nota Fiscal Eletrônica";"2025";"2";"5998";"DANIELLA RIBEIRO";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"11.278.792/0001-87";"Mais PB Portal de Notícias e Comunicação LTDA ME";"1002433";"2025-02-24";;"3000,00"
"2250211";"Nota Fiscal Eletrônica";"2025";"2";"5998";"DANIELLA RIBEIRO";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"22.760.693/0001-53";"Márcio Rangel Ferreira da Silva/MAXX Assessoria e Comunicação";"1350";"2025-02-26";;"1500,00"
"2250206";"Nota Fiscal Eletrônica";"2025";"2";"5998";"DANIELLA RIBEIRO";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"19.364.317/0001-35";"MAXCIMIANO DA SILVA/MX SERVIÇOS E CONSULTORIA";"202500000000015";"2025-02-25";;"900,00"
"2249909";"Nota Fiscal Eletrônica";"2025";"2";"5998";"DANIELLA RIBEIRO";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"10.574.821/0001-95";"PB Agora Serviços de Internet e Comunicações LTDA";"1001589";"2025-02-21";;"2000,00"
"2250213";"Nota Fiscal Eletrônica";"2025";"2";"5998";"DANIELLA RIBEIRO";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"24.284.804/0001-28";"RAINHA PUBLICIDADE E PROPAGANDA LTDA";"202500000000018";"2025-02-26";;"1500,00"
"2250203";"Nota Fiscal Eletrônica";"2025";"2";"5998";"DANIELLA RIBEIRO";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"09.499.601/0001-65";"Signo Inteligência Marketing LTDA";"1000293";"2025-02-21";;"4000,00"
"2250210";"Nota Fiscal Eletrônica";"2025";"2";"5998";"DANIELLA RIBEIRO";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"38.256.021/0001-45";"Sonidelandi Santos Lacerda/Sonylacerda Falando em Política";"1000190";"2025-02-25";;"2000,00"
"2250201";"Nota Fiscal Eletrônica";"2025";"2";"5998";"DANIELLA RIBEIRO";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"18.302.933/0001-07";"THIAGO VASCONCELOS MORAES/ PORTAL DA CAPITAL- ONDE O ESTADO SE ENCONTRA";"1000999";"2025-02-25";;"1500,00"
"2249911";"Nota Fiscal Eletrônica";"2025";"2";"5998";"DANIELLA RIBEIRO";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"15.702.663/0001-25";"Valderedo Borba de Sousa Júnior";"202500000000036";"2025-02-25";;"1000,00"
"2248684";"Passagem / Bilhete / Código Localizador";"2025";"2";"5998";"DANIELLA RIBEIRO";"Passagens aéreas, aquáticas e terrestres nacionais";"07.575.651/0001-59";"GOL";"JZRCXG";"2025-01-02";"Companhia Aérea: GOL, Localizador: JZRCXG. Passageiros: MARIA EDUARDA SOUTO DE AQUINO (Matrícula 340859, COMISSIONADO), Voo: 1761 - JPA/BSB - 01/02/25; ";"540,29"
"2248668";"Passagem / Bilhete / Código Localizador";"2025";"2";"5998";"DANIELLA RIBEIRO";"Passagens aéreas, aquáticas e terrestres nacionais";"07.575.651/0001-59";"GOL";"JWQCSX";"2025-02-02";"Companhia Aérea: GOL, Localizador: JWQCSX. Passageiros: VALÉRIA SINÉSIO DA SILVA (Matrícula 348342, COMISSIONADO), Voo: 2142 - SSA/JPA - 02/02/25; VALÉRIA SINÉSIO DA SILVA (Matrícula 348342, COMISSIONADO), Voo: 1232 - BSB/SSA - 02/02/25; ";"3327,54"
"2250856";"Passagem / Bilhete / Código Localizador";"2025";"2";"5998";"DANIELLA RIBEIRO";"Passagens aéreas, aquáticas e terrestres nacionais";"07.575.651/0001-59";"GOL";"GYSQHK";"2025-02-18";"Companhia Aérea: GOL, Localizador: GYSQHK. Passageiros: MARIA EDUARDA SOUTO DE AQUINO (Matrícula 340859, COMISSIONADO), Voo: 2103 - JPA/BSB - 15/03/25; ";"1264,81"
"2253669";"Passagem / Bilhete / Código Localizador";"2025";"2";"5998";"DANIELLA RIBEIRO";"Passagens aéreas, aquáticas e terrestres nacionais";"07.575.651/0001-59";"GOL";"DGRRLJ";"2025-02-18";"Companhia Aérea: GOL, Localizador: DGRRLJ. Passageiros: MARIA EDUARDA SOUTO DE AQUINO (Matrícula 340859, COMISSIONADO), Voo: 2103 - JPA/BSB - 04/05/25; ";"1300,57"
"2249939";"Passagem / Bilhete / Código Localizador";"2025";"2";"5998";"DANIELLA RIBEIRO";"Passagens aéreas, aquáticas e terrestres nacionais";"33.937.681/0001-78";"LATAM";"UADVJW";"2025-02-09";"Companhia Aérea: LATAM, Localizador: UADVJW. Passageiros: GIULLIANA LOURDES BARRETO CAMELO MOURA (Matrícula 348512, COMISSIONADO), Voo: 3505 - JPA/BSB - 11/02/25; GIULLIANA LOURDES BARRETO CAMELO MOURA (Matrícula 348512, COMISSIONADO), Voo: 3504 - BSB/JPA - 14/02/25; ";"5810,34"
"2249662";"Passagem / Bilhete / Código Localizador";"2025";"2";"5998";"DANIELLA RIBEIRO";"Passagens aéreas, aquáticas e terrestres nacionais";"33.937.681/0001-78";"LATAM";"CFSQLO";"2025-02-14";"Companhia Aérea: LATAM, Localizador: CFSQLO. Passageiros: DANIELLA VELLOSO BORGES RIBEIRO (Matrícula 341256, PARLAMENTAR), Voo: 4721 - BSB/CGH - 15/02/25; ";"3010,85"
"2249621";"Passagem / Bilhete / Código Localizador";"2025";"2";"5998";"DANIELLA RIBEIRO";"Passagens aéreas, aquáticas e terrestres nacionais";"33.937.681/0001-78";"LATAM";"IQUTNG";"2025-02-16";"Companhia Aérea: LATAM, Localizador: IQUTNG. Passageiros: DANIELLA VELLOSO BORGES RIBEIRO (Matrícula 341256, PARLAMENTAR), Voo: 4726 - GRU/JPA - 16/02/25; ";"3339,34"
"2253524";"Passagem / Bilhete / Código Localizador";"2025";"2";"5998";"DANIELLA RIBEIRO";"Passagens aéreas, aquáticas e terrestres nacionais";"33.937.681/0001-78";"LATAM";"QNZMHP";"2025-02-18";"Companhia Aérea: LATAM, Localizador: QNZMHP. Passageiros: MARIA EDUARDA SOUTO DE AQUINO (Matrícula 340859, COMISSIONADO), Voo: 3494 - BSB/JPA - 24/04/25; ";"732,85"
"2265497";"Nota Fiscal Eletrônica";"2025";"8";"5793";"DR. HIRAN";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"12.795.289/0001-61";"J R LACERDA LTDA";"00000931";"2025-08-29";"Despesa referente à locação de equipamentos para o escritório parlamentar.";"5500,00"
"2265574";"Nota Fiscal Eletrônica";"2025";"8";"5793";"DR. HIRAN";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"05.059.252/0001-00";"MOURAO E LIRA LTDA - EPP";"26735";"2025-08-26";"Material de consumo para escritório de apoio no estado.";"430,80"
"2265278";"Nota Fiscal Eletrônica";"2025";"8";"5793";"DR. HIRAN";"Aquisição de material de consumo para uso no escritório político, inclusive aquisição ou locação de software, despesas postais, aquisição de publicações, locação de móveis e de equipamentos. ";"07.979.987/0001-87";"VIZION GESTAO DE NEGOCIOS EMPRESARIAIS LTDA";"00003139";"2025-08-15";"Despesa relativa à contratação de licença de uso do software para o escritório parlamentar no estado.";"623,20"
"2265277";"Nota Fiscal Eletrônica";"2025";"8";"5793";"DR. HIRAN";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"43.111.834/0001-87";"ESTUDIOS VOUVES PRODUCOES DE CONTEUDO AUDIOVISUAL LTDA";"00000061";"2025-08-26";"Despesa referente a serviços para divulgação da atividade parlamentar.";"2500,00"
"2265493";"Nota Fiscal Eletrônica";"2025";"8";"5793";"DR. HIRAN";"Contratação de consultorias, assessorias, pesquisas, trabalhos técnicos e outros serviços de apoio ao exercício do mandato parlamentar";"50.668.817/0001-00";"IMPRIMANET PLUS SOLUCOES LTDA";"618";"2025-08-29";"Despesa referente a serviços para divulgação da atividade parlamentar.";"380,00"
"2282842";"Nota Fiscal Eletrônica";"2025";"8";"5793";"DR. HIRAN";"Divulgação da atividade parlamentar";"20.390.376/0001-67";"CARAVELAS CONSULTORIA E COMUNICAÇÃO LTDA.";"00001854";"2025-07-01";"Despesa referente a serviços para divulgação da atividade parlamentar.";"6300,00"
