"ID";"TIPO_DOCUMENTO";"ANO";"MÊS";"COD_SENADOR";"NOME_SENADOR";"TIPO_DESPESA";"CPF_CNPJ_FORNECEDOR";"NOME_FORNECEDOR";"DOCUMENTO";"DATA";"DETALHAMENTO";"VALOR_REEMBOLSADO"
"2274959";"Recibo";"2025";"11";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"18.033.552/0001-61";"99 TECNOLOGIA LTDA.";;"2025-11-10";"Despesa com serviço de transporte por aplicativo, 99pop, para o servidor: Cristiano Silva Assis de Oliveira - 441809, para desempenho de atividade relativa ao mandato do parlamentar.";"11,10"
"2274967";"Recibo";"2025";"11";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"18.033.552/0001-61";"99 TECNOLOGIA LTDA.";;"2025-11-10";"Despesa com serviço de transporte por aplicativo, 99pop, para o servidor: Cristiano Silva Assis de Oliveira - 441809, para desempenho de atividade relativa ao mandato do parlamentar.";"12,80"
"2274960";"Recibo";"2025";"11";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"18.033.552/0001-61";"99 TECNOLOGIA LTDA.";;"2025-11-13";"Despesa com serviço de transporte por aplicativo, 99pop, para o servidor: Cristiano Silva Assis de Oliveira - 441809, para desempenho de atividade relativa ao mandato do parlamentar.";"18,10"
"2274961";"Recibo";"2025";"11";"5008";"HUMBERTO COSTA";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"18.033.552/0001-61";"99 TECNOLOGIA LTDA.";;"2025-11-14";"Despesa com serviço de transporte por aplicativo, 99pop, para o servidor: Cristiano Silva Assis de Oliveira - 441809, para desempenho de atividade relativa ao mandato do parlamentar.";"23,50"
"2276185";"Fatura";"2025";"11";"5008";"HUMBERTO COSTA";"Passagens aéreas, aquáticas e terrestres nacionais";"05.120.923/0001-09";"Aerotur Serviços";"2262145861";"2025-11-28";"Companhia Aérea: Aerotur Serviços, Localizador: YONSUT. Passageiros: ROBERTO FRANCA STUCKERT FILHO (Matrícula 318866, COMISSIONADO), Voo: 3425 - REC/BSB - 03/12/25; ";"1991,04"
"2276184";"Fatura";"2025";"11";"5008";"HUMBERTO COSTA";"Passagens aéreas, aquáticas e terrestres nacionais";"05.120.923/0001-09";"Aerotur Serviços";"2262146713";"2025-11-28";"Companhia Aérea: Aerotur Serviços, Localizador: KRTNNI. Passageiros: ROBERTO FRANCA STUCKERT FILHO (Matrícula 318866, COMISSIONADO), Voo: 3402 - BSB/REC - 01/12/25; ";"2522,78"
"2274950";"Fatura";"2025";"12";"5008";"HUMBERTO COSTA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"66.970.229/0009-14";"Claro NXT Telecomunicações S.A";"0005868496";"2025-11-19";"Despesa relativa aos serviços de internet para o escritório parlamentar no estado.";"154,90"
"2275606";"Recibo";"2025";"12";"5008";"HUMBERTO COSTA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"586.***.***-53";"Maria Dulce Maranhão Zeltser";;"2025-12-31";"Despesa relativa ao aluguel de imóvel para escritório parlamentar no estado.";"7470,00"
"2276589";"Nota Fiscal Eletrônica";"2025";"12";"5008";"HUMBERTO COSTA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"10.835.932/0001-08";"Neoenergia - Companhia Energética de Pernambuco";"389265918";"2025-12-15";"Despesa relativa ao fornecimento de energia elétrica para o escritório parlamentar no estado.";"33,13"
"2276588";"Nota Fiscal Eletrônica";"2025";"12";"5008";"HUMBERTO COSTA";"Aluguel de imóveis para escritório político, compreendendo despesas concernentes a eles.";"10.835.932/0001-08";"Neoenergia - Companhia Energética de Pernambuco";"389265917";"2025-12-15";"Despesa relativa ao fornecimento de energia elétrica para o escritório parlamentar no estado.";"156,95"
